id,owner,name,html_url,clone_url,,is target repo?,has PR template,pull_request_template paths
11730342,vuejs,vue,https://github.com/vuejs/vue,https://github.com/vuejs/vue.git,https://github.com/vuejs/vue,O,O,.github/PULL_REQUEST_TEMPLATE.md
10270250,facebook,react,https://github.com/facebook/react,https://github.com/facebook/react.git,https://github.com/facebook/react,O,O,.github/PULL_REQUEST_TEMPLATE.md
2126244,twbs,bootstrap,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap.git,https://github.com/twbs/bootstrap,O,O,.github/PULL_REQUEST_TEMPLATE.md
41881900,microsoft,vscode,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode.git,https://github.com/microsoft/vscode,O,O,.github/pull_request_template.md
29028775,facebook,react-native,https://github.com/facebook/react-native,https://github.com/facebook/react-native.git,https://github.com/facebook/react-native,O,O,.github/PULL_REQUEST_TEMPLATE.md
1039520,ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl.git,https://github.com/ytdl-org/youtube-dl,O,O,.github/PULL_REQUEST_TEMPLATE.md
9384267,electron,electron,https://github.com/electron/electron,https://github.com/electron/electron.git,https://github.com/electron/electron,O,O,.github/PULL_REQUEST_TEMPLATE.md
63537249,facebook,create-react-app,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app.git,https://github.com/facebook/create-react-app,O,O,.github/PULL_REQUEST_TEMPLATE.md
23088740,axios,axios,https://github.com/axios/axios,https://github.com/axios/axios.git,https://github.com/axios/axios,O,O,.github/PULL_REQUEST_TEMPLATE.md
100060912,microsoft,terminal,https://github.com/microsoft/terminal,https://github.com/microsoft/terminal.git,https://github.com/microsoft/terminal,O,O,.github/PULL_REQUEST_TEMPLATE.md
24195339,angular,angular,https://github.com/angular/angular,https://github.com/angular/angular.git,https://github.com/angular/angular,O,O,.github/PULL_REQUEST_TEMPLATE.md
90796663,puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,https://github.com/puppeteer/puppeteer.git,https://github.com/puppeteer/puppeteer,O,O,.github/PULL_REQUEST_TEMPLATE.md
51117837,tensorflow,models,https://github.com/tensorflow/models,https://github.com/tensorflow/models.git,https://github.com/tensorflow/models,O,O,.github/PULL_REQUEST_TEMPLATE.md
20929025,microsoft,TypeScript,https://github.com/microsoft/TypeScript,https://github.com/microsoft/TypeScript.git,https://github.com/microsoft/TypeScript,O,O,.github/pull_request_template.md
576201,mrdoob,three.js,https://github.com/mrdoob/three.js,https://github.com/mrdoob/three.js.git,https://github.com/mrdoob/three.js,O,O,.github/pull_request_template.md
70107786,vercel,next.js,https://github.com/vercel/next.js,https://github.com/vercel/next.js.git,https://github.com/vercel/next.js,O,O,.github/pull_request_template.md
460078,angular,angular.js,https://github.com/angular/angular.js,https://github.com/angular/angular.js.git,https://github.com/angular/angular.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
3678731,webpack,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack.git,https://github.com/webpack/webpack,O,O,.github/PULL_REQUEST_TEMPLATE.md
4164482,django,django,https://github.com/django/django,https://github.com/django/django.git,https://github.com/django/django,O,O,.github/pull_request_template.md
36535156,reduxjs,redux,https://github.com/reduxjs/redux,https://github.com/reduxjs/redux.git,https://github.com/reduxjs/redux,O,O,.github/PULL_REQUEST_TEMPLATE.md;.github/PULL_REQUEST_TEMPLATE/bugfix.md;.github/PULL_REQUEST_TEMPLATE/documentation-edit.md;.github/PULL_REQUEST_TEMPLATE/documentation-new.md
44838949,swiftlang,swift,https://github.com/swiftlang/swift,https://github.com/swiftlang/swift.git,https://github.com/swiftlang/swift,O,O,.github/pull_request_template.md
167174,jquery,jquery,https://github.com/jquery/jquery,https://github.com/jquery/jquery.git,https://github.com/jquery/jquery,O,O,.github/PULL_REQUEST_TEMPLATE.md
596892,pallets,flask,https://github.com/pallets/flask,https://github.com/pallets/flask.git,https://github.com/pallets/flask,O,O,.github/pull_request_template.md
507775,elastic,elasticsearch,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,O,O,.github/PULL_REQUEST_TEMPLATE.md
6296790,spring-projects,spring-boot,https://github.com/spring-projects/spring-boot,https://github.com/spring-projects/spring-boot.git,https://github.com/spring-projects/spring-boot,O,O,.github/PULL_REQUEST_TEMPLATE.md
557980,socketio,socket.io,https://github.com/socketio/socket.io,https://github.com/socketio/socket.io.git,https://github.com/socketio/socket.io,O,O,.github/PULL_REQUEST_TEMPLATE.md
5108051,opencv,opencv,https://github.com/opencv/opencv,https://github.com/opencv/opencv.git,https://github.com/opencv/opencv,O,O,.github/PULL_REQUEST_TEMPLATE.md
8843683,chartjs,Chart.js,https://github.com/chartjs/Chart.js,https://github.com/chartjs/Chart.js.git,https://github.com/chartjs/Chart.js,O,O,.github/PULL_REQUEST_TEMPLATE.md
10744183,netdata,netdata,https://github.com/netdata/netdata,https://github.com/netdata/netdata.git,https://github.com/netdata/netdata,O,O,.github/PULL_REQUEST_TEMPLATE.md
184456251,microsoft,PowerToys,https://github.com/microsoft/PowerToys,https://github.com/microsoft/PowerToys.git,https://github.com/microsoft/PowerToys,O,O,.github/pull_request_template.md
486550,h5bp,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate.git,https://github.com/h5bp/html5-boilerplate,O,O,.github/PULL_REQUEST_TEMPLATE.md
36040894,gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby.git,https://github.com/gatsbyjs/gatsby,O,O,.github/PULL_REQUEST_TEMPLATE.md
9309093,Semantic-Org,Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI.git,https://github.com/Semantic-Org/Semantic-UI,O,O,.github/PULL_REQUEST_TEMPLATE.md
3638964,ansible,ansible,https://github.com/ansible/ansible,https://github.com/ansible/ansible.git,https://github.com/ansible/ansible,O,O,.github/PULL_REQUEST_TEMPLATE/PULL_REQUEST_TEMPLATE.md;.github/PULL_REQUEST_TEMPLATE/Bug fix.md;.github/PULL_REQUEST_TEMPLATE/Documentation change.md;.github/PULL_REQUEST_TEMPLATE/New feature.md;.github/PULL_REQUEST_TEMPLATE/Tests.md;.github/PULL_REQUEST_TEMPLATE/Unclear purpose or motivation.md
65600975,pytorch,pytorch,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch.git,https://github.com/pytorch/pytorch,O,O,.github/PULL_REQUEST_TEMPLATE.md
9185792,apache,echarts,https://github.com/apache/echarts,https://github.com/apache/echarts.git,https://github.com/apache/echarts,O,O,.github/pull_request_template.md
74293321,sveltejs,svelte,https://github.com/sveltejs/svelte,https://github.com/sveltejs/svelte.git,https://github.com/sveltejs/svelte,O,O,.github/PULL_REQUEST_TEMPLATE.md
843222,scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn.git,https://github.com/scikit-learn/scikit-learn,O,O,.github/PULL_REQUEST_TEMPLATE.md
7508411,ReactiveX,RxJava,https://github.com/ReactiveX/RxJava,https://github.com/ReactiveX/RxJava.git,https://github.com/ReactiveX/RxJava,O,O,.github/PULL_REQUEST_TEMPLATE.md
12256376,ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework.git,https://github.com/ionic-team/ionic-framework,O,O,.github/PULL_REQUEST_TEMPLATE.md
3214406,meteor,meteor,https://github.com/meteor/meteor,https://github.com/meteor/meteor.git,https://github.com/meteor/meteor,O,O,.github/PULL_REQUEST_TEMPLATE.md
155220641,huggingface,transformers,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers.git,https://github.com/huggingface/transformers,O,O,.github/PULL_REQUEST_TEMPLATE.md
172953845,coder,code-server,https://github.com/coder/code-server,https://github.com/coder/code-server.git,https://github.com/coder/code-server,O,O,.github/PULL_REQUEST_TEMPLATE.md
20300177,google,guava,https://github.com/google/guava,https://github.com/google/guava.git,https://github.com/google/guava,O,O,.github/pull_request_template.md
15111821,grafana,grafana,https://github.com/grafana/grafana,https://github.com/grafana/grafana.git,https://github.com/grafana/grafana,O,O,.github/PULL_REQUEST_TEMPLATE.md
49970642,yarnpkg,yarn,https://github.com/yarnpkg/yarn,https://github.com/yarnpkg/yarn.git,https://github.com/yarnpkg/yarn,O,O,.github/PULL_REQUEST_TEMPLATE.md
75104123,prettier,prettier,https://github.com/prettier/prettier,https://github.com/prettier/prettier.git,https://github.com/prettier/prettier,O,O,.github/PULL_REQUEST_TEMPLATE.md
34302698,serverless,serverless,https://github.com/serverless/serverless,https://github.com/serverless/serverless.git,https://github.com/serverless/serverless,O,O,.github/PULL_REQUEST_TEMPLATE.md
24560307,babel,babel,https://github.com/babel/babel,https://github.com/babel/babel.git,https://github.com/babel/babel,O,O,.github/PULL_REQUEST_TEMPLATE.md
23974149,Dogfalo,materialize,https://github.com/Dogfalo/materialize,https://github.com/Dogfalo/materialize.git,https://github.com/Dogfalo/materialize,O,O,.github/PULL_REQUEST_TEMPLATE.md
99598595,parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,https://github.com/parcel-bundler/parcel.git,https://github.com/parcel-bundler/parcel,O,O,.github/PULL_REQUEST_TEMPLATE.md
892275,square,retrofit,https://github.com/square/retrofit,https://github.com/square/retrofit.git,https://github.com/square/retrofit,O,O,.github/pull_request_template.md
15634981,godotengine,godot,https://github.com/godotengine/godot,https://github.com/godotengine/godot.git,https://github.com/godotengine/godot,O,O,.github/PULL_REQUEST_TEMPLATE.md
81598961,python,cpython,https://github.com/python/cpython,https://github.com/python/cpython.git,https://github.com/python/cpython,O,O,.github/PULL_REQUEST_TEMPLATE.md
9852918,TryGhost,Ghost,https://github.com/TryGhost/Ghost,https://github.com/TryGhost/Ghost.git,https://github.com/TryGhost/Ghost,O,O,.github/PULL_REQUEST_TEMPLATE.md
36502,git,git,https://github.com/git/git,https://github.com/git/git.git,https://github.com/git/git,O,O,.github/PULL_REQUEST_TEMPLATE.md
39464018,apache,superset,https://github.com/apache/superset,https://github.com/apache/superset.git,https://github.com/apache/superset,O,O,.github/PULL_REQUEST_TEMPLATE.md
62367558,vercel,hyper,https://github.com/vercel/hyper,https://github.com/vercel/hyper.git,https://github.com/vercel/hyper,O,O,.github/pull_request_template.md
22458259,Alamofire,Alamofire,https://github.com/Alamofire/Alamofire,https://github.com/Alamofire/Alamofire.git,https://github.com/Alamofire/Alamofire,O,O,.github/PULL_REQUEST_TEMPLATE.md
4710920,apache,dubbo,https://github.com/apache/dubbo,https://github.com/apache/dubbo.git,https://github.com/apache/dubbo,O,O,.github/PULL_REQUEST_TEMPLATE.md
80945428,nestjs,nest,https://github.com/nestjs/nest,https://github.com/nestjs/nest.git,https://github.com/nestjs/nest,O,O,.github/PULL_REQUEST_TEMPLATE.md
26066727,mermaid-js,mermaid,https://github.com/mermaid-js/mermaid,https://github.com/mermaid-js/mermaid.git,https://github.com/mermaid-js/mermaid,O,O,.github/pull_request_template.md
