id,repo,owner
80655163,3DUnetCNN,ellisdg
250979951,RecLearn,ZiyaoGeng
479118982,awesome-opensource-hardware,aolofsson
161322880,GeneticAlgorithmPython,ahmedfgad
146686946,Awesome-Image-Inpainting,zengyh1900
139912879,Text_Classification,kk7nc
53414649,deepgaze,mpatacchiola
69593303,CppCon2017,CppCon
179858671,pyslam,luigifreda
623751571,LVM,ytongbai
176315637,CogDL,THUDM
606266313,axlearn,apple
198412763,MedicalZooPytorch,black0017
106151231,OpenNE,thunlp
151904296,AIAlpha,VivekPa
280043130,graph4nlp,graph4ai
125444399,Top-Deep-Learning,mbadry1
167628014,chemprop,chemprop
112059219,handtracking,victordibia
137240967,PWC-Net,NVlabs
157896616,yake,LIAAD
89620113,BerryNet,DT42
182781810,nlp-journey,msgi
188821801,awesome-fraud-detection-papers,benedekrozemberczki
349947919,awesome-ml4co,Thinklab-SJTU
60142885,ml4a,ml4a
40656806,elephas,maxpumperla
191286408,PGL,PaddlePaddle
706012006,Linly-Talker,Kedreamix
393489989,Digital-Forensics-Guide,mikeroyal
113194336,CS231n-2017-Summary,mbadry1
646974749,Summer-2024-SWE-Internships,AlanChen4
267196339,awesome-self-supervised-gnn,ChandlerBang
263163293,big_transfer,google-research
190989157,TAADpapers,thunlp
147035039,entity-recognition-datasets,juand-r
394994747,finetuner,jina-ai
181388576,NeuronBlocks,microsoft
769149672,LLaVA-NeXT,LLaVA-VL
90050085,DLTK,DLTK
280026201,uncertainty-baselines,google
311379516,DataProfiler,capitalone
494658282,Awesome-FL,youngfish42
56639410,Dragonfire,DragonComputer
34814001,publications,trailofbits
675859069,Applio,IAHispano
206429675,AI,microsoft
293218224,Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,guyulongcs
227366838,awesome-normalizing-flows,janosh
101113923,PointCNN,yangyanli
225903949,PhiFlow,tum-pbs
102089807,Awesome-TensorFlow-Chinese,fendouai
290870599,qxresearch-event-1,qxresearch
204839594,HigherHRNet-Human-Pose-Estimation,HRNet
33984438,ESC-50,karolpiczak
292225878,PFLlib,TsingZ0
94945792,cli-apps,toolleeo
154900564,fastMRI,facebookresearch
199870084,Awesome-Multimodal-Research,Eurus-Holmes
429607784,pygod,pygod-team
174281291,conversational-datasets,PolyAI-LDN
65546193,retina-unet,orobix
324749860,awesome-colab-notebooks,amrzv
89568797,MobileNet-Caffe,shicai
97002861,pyswarms,ljvmiranda921
737696911,pywinassistant,a-real-ai
427079067,pypose,pypose
200645982,service-streamer,ShannonAI
109533627,deep_architecture_genealogy,hunkim
278384289,Category_Theory_Machine_Learning,bgavran
216756473,vision-based-robotic-grasping,GeorgeDu
160139764,softlearning,rail-berkeley
307191665,obsei,obsei
113516939,DCRNN,liyaguang
525251235,RecSysPapers,tangxyw
293036210,nlp-paper,DengBoCong
24829371,blocks,mila-iqia
334760721,self-attention-cv,The-AI-Summer
623499246,docker-prompt-generator,soulteary
198853610,SlimYOLOv3,PengyiZhang
154843614,training_extensions,openvinotoolkit
761236129,minisora,mini-sora
59907561,Fabrik,Cloud-CV
116226076,mastering-pycharm-course,talkpython
339353336,awesome-quincy-larson-emails,freeCodeCamp
135559956,eo-learn,sentinel-hub
296615591,around-dataengineering,abhishek-ch
396518665,Photogrammetry-Guide,mikeroyal
625876964,playground,open-mmlab
216051909,nfstream,nfstream
195163550,Res2Net-PretrainedModels,Res2Net
101236992,flow,flow-project
104710554,CRNN_Tensorflow,MaybeShewill-CV
182054091,keops,getkeops
180372680,HRNet-Facial-Landmark-Detection,HRNet
255074156,PixelLib,ayoolaolafenwa
110565580,gated-graph-neural-network-samples,microsoft
627261340,HuatuoGPT,FreedomIntelligence
57151909,deepmedic,deepmedic
181554939,videoflow,videoflow
65410692,synthetic-computer-vision,unrealcv
433516569,hyperstyle,yuval-alaluf
288539712,NVAE,NVlabs
547667434,LightZero,opendilab
186163475,awesome-gradient-boosting-papers,benedekrozemberczki
562036379,MedSegDiff,MedicineToken
192620864,plato-research-dialogue-system,uber-archive
108328408,deep_learning_and_the_game_of_go,maxpumperla
180518813,HRNet-Image-Classification,HRNet
109284053,workshop,openfaas
99671701,ncappzoo,movidius
81520737,devol,joeddav
104583244,s2cnn,jonkhler
96211155,gempy,gempy-project
411115408,nlp-tutorial,PKU-TANGENT
2038135,restricted-boltzmann-machines,echen
231077707,3D-Shape-Analysis-Paper-List,yinyunie
572620767,symbolicai,ExtensityAI
284780206,PyHealth,sunlabuiuc
114832696,EmoPy,thoughtworksarts
111204713,The-Spiral-Language,mrakgr
647754741,awesome-gpt-prompt-engineering,snwfdhmp
55444998,TF-recomm,songgc
171135219,deep-ctr-prediction,qiaoguan
686948172,ICCV-2023-Papers,DmitryRyumin
115538244,awesome-interpretable-machine-learning,lopusz
120153084,alfred,lucasjinreal
96006792,system-design-primer-zh-tw,kevingo
128145722,visual-pushing-grasping,andyzeng
237742797,deepdow,jankrepl
475477908,PyPOTS,WenjieDu
63911620,ROLO,Guanghan
473188634,concrete-ml,zama-ai
567281014,fortuna,awslabs
370646033,bagua,BaguaSys
139953476,deep-transfer-learning,easezyc
412126778,FuxiCTR,reczoo
322270485,graphtransformer,graphdeeplearning
211948492,baal,baal-org
141242285,cornac,PreferredAI
292165029,EasyTransfer,alibaba
243782399,USRNet,cszn
400528139,etna,tinkoff-ai
586233738,Burp-Suite-Certified-Practitioner-Exam-Study,botesjuan
236841928,aws-graviton-getting-started,aws
593782352,modulus,NVIDIA
247671009,mealpy,thieu1995
289523033,nlu,JohnSnowLabs
273667533,vega,huawei-noah
109418434,ad_examples,shubhomoydas
415020649,cv-arxiv-daily,Vincentqyw
748890475,mountaineer,piercefreeman
138102346,crypto-rl,sadighian
620082084,ChatGenTitle,WangRongsheng
500084281,ADBench,Minqi824
200759999,ACNet,DingXiaoH
163993394,TextClassification-Keras,ShawnyXiao
4830434,videocoreiv,hermanhermitage
74182569,kur,deepgram
394181860,PINNpapers,idrl-lab
106310629,CTCDecoder,githubharald
38389012,python-education,charlax
206839844,ThinkMatch,Thinklab-SJTU
314704349,PaddleHelix,PaddlePaddle
60138482,deeplift,kundajelab
395674127,awesome_lightweight_networks,murufeng
173234868,Image-Inpainting,geekyutao
665169534,Awesome-Game-Analysis,OTFCG
447136192,UniFormer,Sense-X
131947745,deep-active-learning,ej0cl6
233721276,WLASL,dxli94
67670269,mimic3-benchmarks,YerevaNN
192405566,ClusterGCN,benedekrozemberczki
146885631,pytorch-soft-actor-critic,pranz24
409216041,BirdNET-Analyzer,kahst
675887592,Navigation-Learning,LiZhengXiao99
431496624,Awesome-Deep-Graph-Clustering,yueliu1999
113267829,semseg,guanfuchen
92664599,Awesome-GANs,kozistr
71961530,Rewrite,kaonashi-tyc
147224878,schnetpack,atomistic-machine-learning
71506455,Sentiment-Analysis-Twitter,ayushoriginal
403829741,RocketQA,PaddlePaddle
151186173,kymatio,kymatio
136059268,NCRF,baidu-research
55712155,GRU4Rec,hidasib
714409040,multi-agent-postgres-data-analytics,disler
320460952,tinyml,mit-han-lab
51836040,top-starred-devs-and-repos-to-follow,StijnMiroslav
202476819,cs_books,AzatAI
185484668,lighttrack,Guanghan
37345937,ChIP-seq-analysis,crazyhottommy
125590460,LightNet,linksense
181688929,DexiNed,xavysp
128013461,web-scraping,je-suis-tm
203811620,cusignal,rapidsai
95964940,security-paper,firmianay
180826719,PointFlow,stevenygd
272108471,awesome-geospatial-companies,chrieke
284084737,open-aff,YimianDai
258124207,dgl-lifesci,awslabs
176374098,larq,larq
639490725,llmtools,kuleshov-group
